Reference (don't copy),ID,Title,study period,country,Species (English name),Species (scientific name),subject type,toxicant specific,toxicant group,sample type,group,sample size,no. exposed,"OR if given, proportion exposed",Age Class,Sex,concentration level estimate type,concentration (ND for non-detects),Detection limit (if reported),SD of concentration,minimum,maximum,unit of measure,wet/dry weight?,sublethal effects assessed?,sublethal specific,sublethal type,Notes
Goutner et al. 2011,164,Organochlorine residues in blo,2003-2005,Greece,Cinereous Vulture,Aegypius monachus,wild,Lindane,organochlorine insecticides,blood,NA,30,NA,NA,unknown/mixed,unknown/mixed,geometric mean,1.08,NA,NA,0.41,1.64,ng/g,wet,no,none,none,
Goutner et al. 2011,164,Organochlorine residues in blo,2003-2005,Greece,Cinereous Vulture,Aegypius monachus,wild,d-HCH,organochlorine insecticides,blood,NA,30,NA,NA,unknown/mixed,unknown/mixed,geometric mean,0.28,NA,NA,0.03,0.66,ng/g,wet,no,none,none,
Goutner et al. 2011,164,Organochlorine residues in blo,2003-2005,Greece,Cinereous Vulture,Aegypius monachus,wild,Aldrin,organochlorine insecticides,blood,NA,30,NA,NA,unknown/mixed,unknown/mixed,geometric mean,0.29,NA,NA,0.03,2.19,ng/g,wet,no,none,none,
Goutner et al. 2011,164,Organochlorine residues in blo,2003-2005,Greece,Cinereous Vulture,Aegypius monachus,wild,Dieldrin,organochlorine insecticides,blood,NA,30,NA,NA,unknown/mixed,unknown/mixed,geometric mean,0.32,NA,NA,0.04,2.12,ng/g,wet,no,none,none,
Goutner et al. 2011,164,Organochlorine residues in blo,2003-2005,Greece,Cinereous Vulture,Aegypius monachus,wild,Endrin,organochlorine insecticides,blood,NA,30,NA,NA,unknown/mixed,unknown/mixed,geometric mean,0.13,NA,NA,0.05,0.9,ng/g,wet,no,none,none,
Goutner et al. 2011,164,Organochlorine residues in blo,2003-2005,Greece,Cinereous Vulture,Aegypius monachus,wild,Heptachlor,organochlorine insecticides,blood,NA,30,NA,NA,unknown/mixed,unknown/mixed,geometric mean,0.82,NA,NA,0.39,2.09,ng/g,wet,no,none,none,
Goutner et al. 2011,164,Organochlorine residues in blo,2003-2005,Greece,Cinereous Vulture,Aegypius monachus,wild,Heptachlor epoxide,organochlorine insecticides,blood,NA,30,NA,NA,unknown/mixed,unknown/mixed,geometric mean,0.24,NA,NA,0.04,1.04,ng/g,wet,no,none,none,
Goutner et al. 2011,164,Organochlorine residues in blo,2003-2005,Greece,Cinereous Vulture,Aegypius monachus,wild,Chlordane,organochlorine insecticides,blood,NA,30,NA,NA,unknown/mixed,unknown/mixed,geometric mean,0.05,NA,NA,0.04,0.61,ng/g,wet,no,none,none,Toxicant referred to as y-chlordane
Goutner et al. 2011,164,Organochlorine residues in blo,2003-2005,Greece,Cinereous Vulture,Aegypius monachus,wild,endosulfan I,organochlorine insecticides,blood,NA,30,NA,NA,unknown/mixed,unknown/mixed,geometric mean,0.36,NA,NA,0.04,2.14,ng/g,wet,no,none,none,
Goutner et al. 2011,164,Organochlorine residues in blo,2003-2005,Greece,Cinereous Vulture,Aegypius monachus,wild,endosulfan II,organochlorine insecticides,blood,NA,30,NA,NA,unknown/mixed,unknown/mixed,geometric mean,0.18,NA,NA,0.05,0.81,ng/g,wet,no,none,none,
Goutner et al. 2011,164,Organochlorine residues in blo,2003-2005,Greece,Cinereous Vulture,Aegypius monachus,wild,endosulfan sulfate,organochlorine insecticides,blood,NA,30,NA,NA,unknown/mixed,unknown/mixed,geometric mean,1.01,NA,NA,0.06,4.01,ng/g,wet,no,none,none,
