"","X","ID","Title","start","end","country","common_name","sci_name","subject.type","toxicant.specific","toxicant.group","sample.type","group","sample.size","exposed","proportion","Age.Class","Sex","concentration.level.estimate.type","Detection.limit..if.reported.","SD.of.concentration","minimum","maximum","unit.of.measure","wet.dry.weight.","sublethal.effects.assessed.","sublethal.specific","sublethal.type","concentration","spcode","ctcode","Continent"
"2643",2643,209,"Distribution of polychlorinated biphenyls and polybrominated diphenyl ethers in birds of prey from Switzerland","2003","2005","Switzerland","Common Buzzard","Buteo buteo","wild","Sum of all PBDEs","flame retardants","adipose","B19",1,NA,NA,"unknown/mixed","unknown/mixed","n=1","each BDE varied",NA,"n=1","n=1","ng/g","wet","no","none","none",65,21,25,"Europe"
"2644",2644,209,"Distribution of polychlorinated biphenyls and polybrominated diphenyl ethers in birds of prey from Switzerland","2003","2005","Switzerland","Common Buzzard","Buteo buteo","wild","Sum of all PBDEs","flame retardants","adipose","B20",1,NA,NA,"unknown/mixed","unknown/mixed","n=1","each BDE varied",NA,"n=1","n=1","ng/g","wet","no","none","none",17,21,25,"Europe"
"2645",2645,209,"Distribution of polychlorinated biphenyls and polybrominated diphenyl ethers in birds of prey from Switzerland","2003","2005","Switzerland","Common Buzzard","Buteo buteo","wild","Sum of all PBDEs","flame retardants","adipose","B25",1,NA,NA,"unknown/mixed","unknown/mixed","n=1","each BDE varied",NA,"n=1","n=1","ng/g","wet","no","none","none",36,21,25,"Europe"
"2646",2646,209,"Distribution of polychlorinated biphenyls and polybrominated diphenyl ethers in birds of prey from Switzerland","2003","2005","Switzerland","Common Buzzard","Buteo buteo","wild","Sum of all PBDEs","flame retardants","adipose","B26",1,NA,NA,"unknown/mixed","unknown/mixed","n=1","each BDE varied",NA,"n=1","n=1","ng/g","wet","no","none","none",50,21,25,"Europe"
"2647",2647,209,"Distribution of polychlorinated biphenyls and polybrominated diphenyl ethers in birds of prey from Switzerland","2003","2005","Switzerland","Common Buzzard","Buteo buteo","wild","Sum of all PBDEs","flame retardants","adipose","B27",1,NA,NA,"unknown/mixed","unknown/mixed","n=1","each BDE varied",NA,"n=1","n=1","ng/g","wet","no","none","none",5.3,21,25,"Europe"
"2648",2648,209,"Distribution of polychlorinated biphenyls and polybrominated diphenyl ethers in birds of prey from Switzerland","2003","2005","Switzerland","Common Buzzard","Buteo buteo","wild","Sum of all PBDEs","flame retardants","adipose","B30",1,NA,NA,"immature","unknown/mixed","n=1","each BDE varied",NA,"n=1","n=1","ng/g","wet","no","none","none",13,21,25,"Europe"
"2649",2649,209,"Distribution of polychlorinated biphenyls and polybrominated diphenyl ethers in birds of prey from Switzerland","2003","2005","Switzerland","Common Buzzard","Buteo buteo","wild","Sum of all PBDEs","flame retardants","adipose","B31",1,NA,NA,"immature","unknown/mixed","n=1","each BDE varied",NA,"n=1","n=1","ng/g","wet","no","none","none",8.7,21,25,"Europe"
"2650",2650,209,"Distribution of polychlorinated biphenyls and polybrominated diphenyl ethers in birds of prey from Switzerland","2003","2005","Switzerland","Common Buzzard","Buteo buteo","wild","Sum of all PBDEs","flame retardants","adipose","B34",1,NA,NA,"unknown/mixed","unknown/mixed","n=1","each BDE varied",NA,"n=1","n=1","ng/g","wet","no","none","none",76,21,25,"Europe"
"2651",2651,209,"Distribution of polychlorinated biphenyls and polybrominated diphenyl ethers in birds of prey from Switzerland","2003","2005","Switzerland","Common Buzzard","Buteo buteo","wild","Sum of all PBDEs","flame retardants","adipose","B35",1,NA,NA,"unknown/mixed","unknown/mixed","n=1","each BDE varied",NA,"n=1","n=1","ng/g","wet","no","none","none",9.9,21,25,"Europe"
"2652",2652,209,"Distribution of polychlorinated biphenyls and polybrominated diphenyl ethers in birds of prey from Switzerland","2003","2005","Switzerland","Common Buzzard","Buteo buteo","wild","Sum of all PBDEs","flame retardants","adipose","B37",1,NA,NA,"immature","unknown/mixed","n=1","each BDE varied",NA,"n=1","n=1","ng/g","wet","no","none","none",28,21,25,"Europe"
"2653",2653,209,"Distribution of polychlorinated biphenyls and polybrominated diphenyl ethers in birds of prey from Switzerland","2003","2005","Switzerland","Common Buzzard","Buteo buteo","wild","Sum of all PBDEs","flame retardants","adipose","B39",1,NA,NA,"immature","unknown/mixed","n=1","each BDE varied",NA,"n=1","n=1","ng/g","wet","no","none","none",70,21,25,"Europe"
"2654",2654,209,"Distribution of polychlorinated biphenyls and polybrominated diphenyl ethers in birds of prey from Switzerland","2003","2005","Switzerland","Eurasian Sparrowhawk","Accipiter nisus","wild","Total PCBs","PCBs","brain","S1",1,NA,NA,"unknown/mixed","female","n=1","each PCB varied",NA,"n=1","n=1","ng/g","wet","no","none","none",207,31,25,"Europe"
"2655",2655,209,"Distribution of polychlorinated biphenyls and polybrominated diphenyl ethers in birds of prey from Switzerland","2003","2005","Switzerland","Eurasian Sparrowhawk","Accipiter nisus","wild","Total PCBs","PCBs","brain","S2",1,NA,NA,"unknown/mixed","unknown/mixed","n=1","each PCB varied",NA,"n=1","n=1","ng/g","wet","no","none","none",7439,31,25,"Europe"
"2656",2656,209,"Distribution of polychlorinated biphenyls and polybrominated diphenyl ethers in birds of prey from Switzerland","2003","2005","Switzerland","Eurasian Sparrowhawk","Accipiter nisus","wild","Total PCBs","PCBs","brain","S3",1,NA,NA,"unknown/mixed","female","n=1","each PCB varied",NA,"n=1","n=1","ng/g","wet","no","none","none",344,31,25,"Europe"
"2657",2657,209,"Distribution of polychlorinated biphenyls and polybrominated diphenyl ethers in birds of prey from Switzerland","2003","2005","Switzerland","Eurasian Sparrowhawk","Accipiter nisus","wild","Total PCBs","PCBs","brain","S4",1,NA,NA,"unknown/mixed","female","n=1","each PCB varied",NA,"n=1","n=1","ng/g","wet","no","none","none",776,31,25,"Europe"
"2658",2658,209,"Distribution of polychlorinated biphenyls and polybrominated diphenyl ethers in birds of prey from Switzerland","2003","2005","Switzerland","Eurasian Sparrowhawk","Accipiter nisus","wild","Total PCBs","PCBs","brain","S5",1,NA,NA,"immature","unknown/mixed","n=1","each PCB varied",NA,"n=1","n=1","ng/g","wet","no","none","none",231,31,25,"Europe"
"2659",2659,209,"Distribution of polychlorinated biphenyls and polybrominated diphenyl ethers in birds of prey from Switzerland","2003","2005","Switzerland","Eurasian Sparrowhawk","Accipiter nisus","wild","Total PCBs","PCBs","brain","S6",1,NA,NA,"adult","male","n=1","each PCB varied",NA,"n=1","n=1","ng/g","wet","no","none","none",4452,31,25,"Europe"
"2660",2660,209,"Distribution of polychlorinated biphenyls and polybrominated diphenyl ethers in birds of prey from Switzerland","2003","2005","Switzerland","Eurasian Sparrowhawk","Accipiter nisus","wild","Total PCBs","PCBs","brain","S7",1,NA,NA,"unknown/mixed","female","n=1","each PCB varied",NA,"n=1","n=1","ng/g","wet","no","none","none",428,31,25,"Europe"
"2661",2661,209,"Distribution of polychlorinated biphenyls and polybrominated diphenyl ethers in birds of prey from Switzerland","2003","2005","Switzerland","Eurasian Sparrowhawk","Accipiter nisus","wild","Total PCBs","PCBs","brain","S8",1,NA,NA,"unknown/mixed","unknown/mixed","n=1","each PCB varied",NA,"n=1","n=1","ng/g","wet","no","none","none",2327,31,25,"Europe"
"2662",2662,209,"Distribution of polychlorinated biphenyls and polybrominated diphenyl ethers in birds of prey from Switzerland","2003","2005","Switzerland","Eurasian Sparrowhawk","Accipiter nisus","wild","Total PCBs","PCBs","brain","S9",1,NA,NA,"unknown/mixed","male","n=1","each PCB varied",NA,"n=1","n=1","ng/g","wet","no","none","none",2105,31,25,"Europe"
"2663",2663,209,"Distribution of polychlorinated biphenyls and polybrominated diphenyl ethers in birds of prey from Switzerland","2003","2005","Switzerland","Eurasian Sparrowhawk","Accipiter nisus","wild","Total PCBs","PCBs","brain","S10",1,NA,NA,"unknown/mixed","male","n=1","each PCB varied",NA,"n=1","n=1","ng/g","wet","no","none","none",333,31,25,"Europe"
"2664",2664,209,"Distribution of polychlorinated biphenyls and polybrominated diphenyl ethers in birds of prey from Switzerland","2003","2005","Switzerland","Eurasian Sparrowhawk","Accipiter nisus","wild","Total PCBs","PCBs","brain","S11",1,NA,NA,"unknown/mixed","male","n=1","each PCB varied",NA,"n=1","n=1","ng/g","wet","no","none","none",390,31,25,"Europe"
"2665",2665,209,"Distribution of polychlorinated biphenyls and polybrominated diphenyl ethers in birds of prey from Switzerland","2003","2005","Switzerland","Eurasian Sparrowhawk","Accipiter nisus","wild","Sum of all PBDEs","flame retardants","brain","S1",1,NA,NA,"unknown/mixed","female","n=1","each BDE varied",NA,"n=1","n=1","ng/g","wet","no","none","none",4.6,31,25,"Europe"
"2666",2666,209,"Distribution of polychlorinated biphenyls and polybrominated diphenyl ethers in birds of prey from Switzerland","2003","2005","Switzerland","Eurasian Sparrowhawk","Accipiter nisus","wild","Sum of all PBDEs","flame retardants","brain","S2",1,NA,NA,"unknown/mixed","unknown/mixed","n=1","each BDE varied",NA,"n=1","n=1","ng/g","wet","no","none","none",168,31,25,"Europe"
"2667",2667,209,"Distribution of polychlorinated biphenyls and polybrominated diphenyl ethers in birds of prey from Switzerland","2003","2005","Switzerland","Eurasian Sparrowhawk","Accipiter nisus","wild","Sum of all PBDEs","flame retardants","brain","S3",1,NA,NA,"unknown/mixed","female","n=1","each BDE varied",NA,"n=1","n=1","ng/g","wet","no","none","none",4.6,31,25,"Europe"
"2668",2668,209,"Distribution of polychlorinated biphenyls and polybrominated diphenyl ethers in birds of prey from Switzerland","2003","2005","Switzerland","Eurasian Sparrowhawk","Accipiter nisus","wild","Sum of all PBDEs","flame retardants","brain","S4",1,NA,NA,"unknown/mixed","female","n=1","each BDE varied",NA,"n=1","n=1","ng/g","wet","no","none","none",12,31,25,"Europe"
"2669",2669,209,"Distribution of polychlorinated biphenyls and polybrominated diphenyl ethers in birds of prey from Switzerland","2003","2005","Switzerland","Eurasian Sparrowhawk","Accipiter nisus","wild","Sum of all PBDEs","flame retardants","brain","S5",1,NA,NA,"immature","unknown/mixed","n=1","each BDE varied",NA,"n=1","n=1","ng/g","wet","no","none","none",13,31,25,"Europe"
"2670",2670,209,"Distribution of polychlorinated biphenyls and polybrominated diphenyl ethers in birds of prey from Switzerland","2003","2005","Switzerland","Eurasian Sparrowhawk","Accipiter nisus","wild","Sum of all PBDEs","flame retardants","brain","S6",1,NA,NA,"adult","male","n=1","each BDE varied",NA,"n=1","n=1","ng/g","wet","no","none","none",154,31,25,"Europe"
"2671",2671,209,"Distribution of polychlorinated biphenyls and polybrominated diphenyl ethers in birds of prey from Switzerland","2003","2005","Switzerland","Eurasian Sparrowhawk","Accipiter nisus","wild","Sum of all PBDEs","flame retardants","brain","S7",1,NA,NA,"unknown/mixed","female","n=1","each BDE varied",NA,"n=1","n=1","ng/g","wet","no","none","none",8.9,31,25,"Europe"
"2672",2672,209,"Distribution of polychlorinated biphenyls and polybrominated diphenyl ethers in birds of prey from Switzerland","2003","2005","Switzerland","Eurasian Sparrowhawk","Accipiter nisus","wild","Sum of all PBDEs","flame retardants","brain","S8",1,NA,NA,"unknown/mixed","unknown/mixed","n=1","each BDE varied",NA,"n=1","n=1","ng/g","wet","no","none","none",62,31,25,"Europe"
"2673",2673,209,"Distribution of polychlorinated biphenyls and polybrominated diphenyl ethers in birds of prey from Switzerland","2003","2005","Switzerland","Eurasian Sparrowhawk","Accipiter nisus","wild","Sum of all PBDEs","flame retardants","brain","S9",1,NA,NA,"unknown/mixed","male","n=1","each BDE varied",NA,"n=1","n=1","ng/g","wet","no","none","none",57,31,25,"Europe"
"2674",2674,209,"Distribution of polychlorinated biphenyls and polybrominated diphenyl ethers in birds of prey from Switzerland","2003","2005","Switzerland","Eurasian Sparrowhawk","Accipiter nisus","wild","Sum of all PBDEs","flame retardants","brain","S10",1,NA,NA,"unknown/mixed","male","n=1","each BDE varied",NA,"n=1","n=1","ng/g","wet","no","none","none",14,31,25,"Europe"
"2675",2675,209,"Distribution of polychlorinated biphenyls and polybrominated diphenyl ethers in birds of prey from Switzerland","2003","2005","Switzerland","Eurasian Sparrowhawk","Accipiter nisus","wild","Sum of all PBDEs","flame retardants","brain","S11",1,NA,NA,"unknown/mixed","male","n=1","each BDE varied",NA,"n=1","n=1","ng/g","wet","no","none","none",15,31,25,"Europe"
"2676",2676,209,"Distribution of polychlorinated biphenyls and polybrominated diphenyl ethers in birds of prey from Switzerland","2003","2005","Switzerland","Eurasian Sparrowhawk","Accipiter nisus","wild","Total PCBs","PCBs","adipose","S1",1,NA,NA,"unknown/mixed","female","n=1","each PCB varied",NA,"n=1","n=1","ng/g","wet","no","none","none",18788,31,25,"Europe"
"2677",2677,209,"Distribution of polychlorinated biphenyls and polybrominated diphenyl ethers in birds of prey from Switzerland","2003","2005","Switzerland","Eurasian Sparrowhawk","Accipiter nisus","wild","Total PCBs","PCBs","adipose","S2",1,NA,NA,"unknown/mixed","unknown/mixed","n=1","each PCB varied",NA,"n=1","n=1","ng/g","wet","no","none","none",12362,31,25,"Europe"
"2678",2678,209,"Distribution of polychlorinated biphenyls and polybrominated diphenyl ethers in birds of prey from Switzerland","2003","2005","Switzerland","Eurasian Sparrowhawk","Accipiter nisus","wild","Total PCBs","PCBs","adipose","S3",1,NA,NA,"unknown/mixed","female","n=1","each PCB varied",NA,"n=1","n=1","ng/g","wet","no","none","none",2599,31,25,"Europe"
"2679",2679,209,"Distribution of polychlorinated biphenyls and polybrominated diphenyl ethers in birds of prey from Switzerland","2003","2005","Switzerland","Eurasian Sparrowhawk","Accipiter nisus","wild","Total PCBs","PCBs","adipose","S4",1,NA,NA,"unknown/mixed","female","n=1","each PCB varied",NA,"n=1","n=1","ng/g","wet","no","none","none",50093,31,25,"Europe"
"2680",2680,209,"Distribution of polychlorinated biphenyls and polybrominated diphenyl ethers in birds of prey from Switzerland","2003","2005","Switzerland","Eurasian Sparrowhawk","Accipiter nisus","wild","Total PCBs","PCBs","adipose","S5",1,NA,NA,"immature","unknown/mixed","n=1","each PCB varied",NA,"n=1","n=1","ng/g","wet","no","none","none",26025,31,25,"Europe"
"2681",2681,209,"Distribution of polychlorinated biphenyls and polybrominated diphenyl ethers in birds of prey from Switzerland","2003","2005","Switzerland","Eurasian Sparrowhawk","Accipiter nisus","wild","Total PCBs","PCBs","adipose","S6",1,NA,NA,"adult","male","n=1","each PCB varied",NA,"n=1","n=1","ng/g","wet","no","none","none",1789,31,25,"Europe"
"2682",2682,209,"Distribution of polychlorinated biphenyls and polybrominated diphenyl ethers in birds of prey from Switzerland","2003","2005","Switzerland","Eurasian Sparrowhawk","Accipiter nisus","wild","Total PCBs","PCBs","adipose","S7",1,NA,NA,"unknown/mixed","female","n=1","each PCB varied",NA,"n=1","n=1","ng/g","wet","no","none","none",25951,31,25,"Europe"
"2683",2683,209,"Distribution of polychlorinated biphenyls and polybrominated diphenyl ethers in birds of prey from Switzerland","2003","2005","Switzerland","Eurasian Sparrowhawk","Accipiter nisus","wild","Total PCBs","PCBs","adipose","S10",1,NA,NA,"unknown/mixed","male","n=1","each PCB varied",NA,"n=1","n=1","ng/g","wet","no","none","none",79836,31,25,"Europe"
"2684",2684,209,"Distribution of polychlorinated biphenyls and polybrominated diphenyl ethers in birds of prey from Switzerland","2003","2005","Switzerland","Eurasian Sparrowhawk","Accipiter nisus","wild","Total PCBs","PCBs","adipose","S11",1,NA,NA,"unknown/mixed","male","n=1","each PCB varied",NA,"n=1","n=1","ng/g","wet","no","none","none",50994,31,25,"Europe"
"2685",2685,209,"Distribution of polychlorinated biphenyls and polybrominated diphenyl ethers in birds of prey from Switzerland","2003","2005","Switzerland","Eurasian Sparrowhawk","Accipiter nisus","wild","Sum of all PBDEs","flame retardants","adipose","S1",1,NA,NA,"unknown/mixed","female","n=1","each BDE varied",NA,"n=1","n=1","ng/g","wet","no","none","none",526,31,25,"Europe"
"2686",2686,209,"Distribution of polychlorinated biphenyls and polybrominated diphenyl ethers in birds of prey from Switzerland","2003","2005","Switzerland","Eurasian Sparrowhawk","Accipiter nisus","wild","Sum of all PBDEs","flame retardants","adipose","S2",1,NA,NA,"unknown/mixed","unknown/mixed","n=1","each BDE varied",NA,"n=1","n=1","ng/g","wet","no","none","none",352,31,25,"Europe"
"2687",2687,209,"Distribution of polychlorinated biphenyls and polybrominated diphenyl ethers in birds of prey from Switzerland","2003","2005","Switzerland","Eurasian Sparrowhawk","Accipiter nisus","wild","Sum of all PBDEs","flame retardants","adipose","S3",1,NA,NA,"unknown/mixed","female","n=1","each BDE varied",NA,"n=1","n=1","ng/g","wet","no","none","none",64,31,25,"Europe"
"2688",2688,209,"Distribution of polychlorinated biphenyls and polybrominated diphenyl ethers in birds of prey from Switzerland","2003","2005","Switzerland","Eurasian Sparrowhawk","Accipiter nisus","wild","Sum of all PBDEs","flame retardants","adipose","S4",1,NA,NA,"unknown/mixed","female","n=1","each BDE varied",NA,"n=1","n=1","ng/g","wet","no","none","none",997,31,25,"Europe"
