IOCOrder,BLFamilyLatin,BLFamilyEnglish,sci_name,common_name,Diet-Inv,Diet-Vend,Diet-Vect,Diet-Vfish,Diet-Vunk,Diet-Scav,Diet-Fruit,Diet-Nect,Diet-Seed,Diet-PlantO,Diet-5Cat,Diet-Source,Diet-Certainty,Diet-EnteredBy,ForStrat-watbelowsurf,ForStrat-wataroundsurf,ForStrat-ground,ForStrat-understory,ForStrat-midhigh,ForStrat-canopy,ForStrat-aerial,PelagicSpecialist,ForStrat-Source,ForStrat-SpecLevel,ForStrat-EnteredBy,Nocturnal,BodyMass-Value,BodyMass-Source,BodyMass-SpecLevel,BodyMass-Comment,Record-Comment
Strigiformes,Strigidae,Owls,Bubo poensis,Fraser's Eagle-owl,60,20,20,0,0,0,0,0,0,0,Invertebrate,Ref_5,A,Hamish,0,0,70,10,10,10,0,0,Ref_5,1,Other,1,654.94,Dunning08,1,,
Strigiformes,Strigidae,Owls,Bubo vosseleri,Usambara Eagle-owl,60,20,20,0,0,0,0,0,0,0,Invertebrate,Ref_5,C,Hamish,0,0,70,10,10,10,0,0,Ref_5,1,Other,1,822.5,PrimScale,1,,
Strigiformes,Strigidae,Owls,Bubo nipalensis,Spot-bellied Eagle-owl,0,60,20,20,0,0,0,0,0,0,VertFishScav,Ref_5,A,Hamish,0,10,60,10,20,0,0,0,Ref_5,1,Christian,1,1396.42,Dunning08,1,,
Strigiformes,Strigidae,Owls,Bubo sumatranus,Barred Eagle-owl,60,30,10,0,0,0,0,0,0,0,Invertebrate,Ref_5,A,Hamish,0,0,80,10,10,0,0,0,Ref_5,1,Christian,1,1525,Dunning08,1,,
Strigiformes,Strigidae,Owls,Bubo shelleyi,Shelley's Eagle-owl,0,100,0,0,0,0,0,0,0,0,VertFishScav,Ref_5,C,Hamish,0,0,80,10,10,0,0,0,Ref_5,1,Christian,1,1257,Dunning08,1,,
Strigiformes,Strigidae,Owls,Bubo lacteus,Giant Eagle-owl,10,60,20,10,0,0,0,0,0,0,VertFishScav,Ref_5,A,Hamish,0,20,60,10,10,0,0,0,Ref_5,1,Christian,1,2114.94,Dunning08,1,,
Strigiformes,Strigidae,Owls,Bubo coromandus,Dusky Eagle-owl,0,70,20,10,0,0,0,0,0,0,VertFishScav,Ref_5,A,Hamish,0,20,60,10,10,0,0,0,Ref_5,1,Christian,1,1392.15,GenAvg,0,,
Strigiformes,Strigidae,Owls,Bubo leucostictus,Akun Eagle-owl,100,0,0,0,0,0,0,0,0,0,Invertebrate,Ref_5,A,Hamish,0,0,40,30,20,10,0,0,Ref_5,1,Other,1,532.54,Dunning08,1,,
Strigiformes,Strigidae,Owls,Bubo philippensis,Philippine Eagle-owl,0,100,0,0,0,0,0,0,0,0,VertFishScav,Ref_5,C,Hamish,0,20,60,10,10,0,0,0,Ref_5,1,Christian,1,1392.15,GenAvg,0,,
Strigiformes,Strigidae,Owls,Ketupa blakistoni,Blakiston's Fish-owl,20,10,10,60,0,0,0,0,0,0,VertFishScav,Ref_5,A,Hamish,0,60,20,10,10,0,0,0,Ref_5,1,Other,1,937.5,GenAvg,0,,
