"","ID","Title","study period","country","Species (English name)","Species (scientific name)","subject type","toxicant specific","toxicant group","sample type","group","sample size","no. exposed","OR if given, proportion exposed","Age Class","Sex","concentration level estimate type","concentration (ND for non-detects)","Detection limit (if reported)","SD of concentration","minimum","maximum","unit of measure","wet/dry weight?","sublethal effects assessed?","sublethal specific","sublethal type","Notes","...29","...30"
"46",148,"Dramatic declines of DDE and o","1984","United States of America","Peregrine Falcon","Falco peregrinus","wild","DDE","organochlorine insecticides","blood","NA",27,"NA","NA","unknown/mixed","female","geometric mean","0.55100000000000005",">=0.02","NA","NA","NA","ug/g","wet","no","none","none",NA,NA,NA
"47",148,"Dramatic declines of DDE and o","1994","United States of America","Peregrine Falcon","Falco peregrinus","wild","DDE","organochlorine insecticides","blood","NA",45,"NA","NA","unknown/mixed","female","geometric mean","0.40600000000000003",">=0.02","NA","NA","NA","ug/g","wet","no","none","none",NA,NA,NA
"48",148,"Dramatic declines of DDE and o","2004","United States of America","Peregrine Falcon","Falco peregrinus","wild","DDE","organochlorine insecticides","blood","NA",27,"NA","NA","adult","female","geometric mean","1.2999999999999999E-2",">=0.002","NA","NA","NA","ug/g","wet","no","none","none","Lower detection limit used in 2004 for DDE only",NA,NA
"49",148,"Dramatic declines of DDE and o","1978-1979","United States of America","Peregrine Falcon","Falco peregrinus","wild","DDT","organochlorine insecticides","blood","NA",21,"4","0.19","unknown/mixed","female","NA","NA",">=0.02","NA","NA","NA","ug/g","wet","no","none","none",NA,NA,NA
"50",148,"Dramatic declines of DDE and o","1980","United States of America","Peregrine Falcon","Falco peregrinus","wild","DDT","organochlorine insecticides","blood","NA",63,"1","0.02","unknown/mixed","female","NA","NA",">=0.02","NA","NA","NA","ug/g","wet","no","none","none",NA,NA,NA
"51",148,"Dramatic declines of DDE and o","1984","United States of America","Peregrine Falcon","Falco peregrinus","wild","DDT","organochlorine insecticides","blood","NA",27,"1","0.04","unknown/mixed","female","NA","NA",">=0.02","NA","NA","NA","ug/g","wet","no","none","none",NA,NA,NA
"52",148,"Dramatic declines of DDE and o","1994","United States of America","Peregrine Falcon","Falco peregrinus","wild","DDT","organochlorine insecticides","blood","NA",45,"0","0","unknown/mixed","female","NA","NA",">=0.02","NA","NA","NA","ug/g","wet","no","none","none",NA,NA,NA
"53",148,"Dramatic declines of DDE and o","2004","United States of America","Peregrine Falcon","Falco peregrinus","wild","DDT","organochlorine insecticides","blood","NA",27,"0","0","adult","female","NA","NA",">=0.02","NA","NA","NA","ug/g","wet","no","none","none",NA,NA,NA
"54",148,"Dramatic declines of DDE and o","1978-1979","United States of America","Peregrine Falcon","Falco peregrinus","wild","DDD","organochlorine insecticides","blood","NA",21,"2","0.1","unknown/mixed","female","NA","NA",">=0.02","NA","NA","NA","ug/g","wet","no","none","none",NA,NA,NA
"55",148,"Dramatic declines of DDE and o","1980","United States of America","Peregrine Falcon","Falco peregrinus","wild","DDD","organochlorine insecticides","blood","NA",63,"0","0","unknown/mixed","female","NA","NA",">=0.02","NA","NA","NA","ug/g","wet","no","none","none",NA,NA,NA
