C,publication year,study period,country,scientific name,English name,subject type,toxicant group,toxicant specific,sample type,group,sample size,no. exposed,"OR if given, proportion exposed",Age Class,Sex,concentration level estimate type,concentration (ND for non-detects),Detection limit (if reported),SD of concentration,minimum,maximum,unit of measure,wet/dry weight?,sublethal effects assessed?,sublethal type,sublethal specific,Notes,,,,,,,,,,,,,,,,
Clark et al. 1998,1998,1993,United States of America,Haliaeetus leucocephalus,Bald Eagle,wild,organochlorine insecticides,DDE,eggs,New Jersey-Delaware Bay drainage-Raccoon Creek,1,NA,NA,NA,unknown/mixed,n=1,12,NA,NA,NA,NA,?g/g,wet,yes,fecundity,,,,,,,,,,,,,,,,,,
Clark et al. 1998,1998,1994,United States of America,Haliaeetus leucocephalus,Bald Eagle,wild,organochlorine insecticides,DDE,eggs,New Jersey-Delaware Bay drainage-Raccoon Creek,1,NA,NA,NA,unknown/mixed,n=1,14,NA,NA,NA,NA,?g/g,wet,yes,fecundity,,,,,,,,,,,,,,,,,,
Clark et al. 1998,1998,1995,United States of America,Haliaeetus leucocephalus,Bald Eagle,wild,organochlorine insecticides,DDE,eggs,New Jersey-Delaware Bay drainage-Raccoon Creek,1,NA,NA,NA,unknown/mixed,n=1,18,NA,NA,NA,NA,?g/g,wet,yes,fecundity,,,,,,,,,,,,,,,,,,
Clark et al. 1998,1998,1997,United States of America,Haliaeetus leucocephalus,Bald Eagle,wild,organochlorine insecticides,DDE,eggs,New Jersey-Delaware Bay drainage-Raccoon Creek,1,NA,NA,NA,unknown/mixed,n=1,18,NA,NA,NA,NA,?g/g,wet,yes,fecundity,,,,,,,,,,,,,,,,,,
Clark et al. 1998,1998,1997,United States of America,Haliaeetus leucocephalus,Bald Eagle,wild,organochlorine insecticides,DDE,eggs,New Jersey-Delaware Bay drainage-Raccoon Creek,1,NA,NA,NA,unknown/mixed,n=1,6.3,NA,NA,NA,NA,?g/g,wet,yes,fecundity,,,,,,,,,,,,,,,,,,
Clark et al. 1998,1998,1993,United States of America,Haliaeetus leucocephalus,Bald Eagle,wild,organochlorine insecticides,DDT,eggs,New Jersey-Delaware Bay drainage-Raccoon Creek,1,NA,NA,NA,unknown/mixed,n=1,0.03,NA,NA,NA,NA,?g/g,wet,yes,fecundity,,,,,,,,,,,,,,,,,,
Clark et al. 1998,1998,1994,United States of America,Haliaeetus leucocephalus,Bald Eagle,wild,organochlorine insecticides,DDT,eggs,New Jersey-Delaware Bay drainage-Raccoon Creek,1,NA,NA,NA,unknown/mixed,n=1,NA,<0.010,NA,NA,NA,?g/g,wet,yes,fecundity,,,,,,,,,,,,,,,,,,
Clark et al. 1998,1998,1995,United States of America,Haliaeetus leucocephalus,Bald Eagle,wild,organochlorine insecticides,DDT,eggs,New Jersey-Delaware Bay drainage-Raccoon Creek,1,NA,NA,NA,unknown/mixed,n=1,NA,<0.010,NA,NA,NA,?g/g,wet,yes,fecundity,,,,,,,,,,,,,,,,,,
Clark et al. 1998,1998,1997,United States of America,Haliaeetus leucocephalus,Bald Eagle,wild,organochlorine insecticides,DDT,eggs,New Jersey-Delaware Bay drainage-Raccoon Creek,1,NA,NA,NA,unknown/mixed,n=1,NA,<0.010,NA,NA,NA,?g/g,wet,yes,fecundity,,,,,,,,,,,,,,,,,,
Clark et al. 1998,1998,1997,United States of America,Haliaeetus leucocephalus,Bald Eagle,wild,organochlorine insecticides,DDT,eggs,New Jersey-Delaware Bay drainage-Raccoon Creek,1,NA,NA,NA,unknown/mixed,n=1,NA,<0.010,NA,NA,NA,?g/g,wet,yes,fecundity,,,,,,,,,,,,,,,,,,
Dykstra et al. 2019,2019,2006-2015,United States of America,Haliaeetus leucocephalus,Bald Eagle,wild,organochlorine insecticides,DDE,blood,Apostle Islands,58,NA,NA,nestling,unknown/mixed,geometric mean,10.6,NA,NA,NA,NA,?g/L,wet,yes,fecundity,,,,,,,,,,,,,,,,,,
Dykstra et al. 2019,2019,2006-2015,United States of America,Haliaeetus leucocephalus,Bald Eagle,wild,organochlorine insecticides,DDE,blood,south shore of Lake Superior in Wisconsin,16,NA,NA,nestling,unknown/mixed,geometric mean,7.69,NA,NA,NA,NA,?g/L,wet,yes,fecundity,,,,,,,,,,,,,,,,,,
Dykstra et al. 2019,2019,2006-2015,United States of America,Haliaeetus leucocephalus,Bald Eagle,wild,organochlorine insecticides,DDE,blood,upper Saint Croix National Scenic River,65,NA,NA,nestling,unknown/mixed,geometric mean,2.86,NA,NA,NA,NA,?g/L,wet,yes,fecundity,,,,,,,,,,,,,,,,,,
Dykstra et al. 2019,2019,2006-2015,United States of America,Haliaeetus leucocephalus,Bald Eagle,wild,organochlorine insecticides,DDE,blood,lower Saint Croix National Scenic River,64,NA,NA,nestling,unknown/mixed,geometric mean,6.9,NA,NA,NA,NA,?g/L,wet,yes,fecundity,,,,,,,,,,,,,,,,,,
Dykstra et al. 2019,2019,2006-2015,United States of America,Haliaeetus leucocephalus,Bald Eagle,wild,organochlorine insecticides,DDE,blood,Mississippi National River and Recreation Area,138,NA,NA,nestling,unknown/mixed,geometric mean,8.82,NA,NA,NA,NA,?g/L,wet,yes,fecundity,,,,,,,,,,,,,,,,,,
Dykstra et al. 2019,2019,2006-2015,United States of America,Haliaeetus leucocephalus,Bald Eagle,wild,organochlorine insecticides,DDE,blood,pools 3 and 4 of the Mississippi River,33,NA,NA,nestling,unknown/mixed,geometric mean,7.08,NA,NA,NA,NA,?g/L,wet,yes,fecundity,,,,,,,,,,,,,,,,,,
